,Unnamed: 0,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1379,2245,2016-12-23,ADANIPORTS,EQ,263.55,262.15,268.5,259.05,263.0,262.9,263.08,3336863,87787444520000.0,32572.0,1241539,0.3721
230,1096,2012-05-03,ADANIPORTS,EQ,126.05,126.55,127.5,124.45,124.75,124.95,125.6,626023,7862758770000.0,7173.0,202501,0.3235
1956,2822,2019-04-24,ADANIPORTS,EQ,390.9,387.7,394.0,386.1,392.0,391.75,389.54,1674322,65222301904999.99,40292.0,881911,0.5267000000000001
1430,2296,2017-03-08,ADANIPORTS,EQ,308.25,308.25,309.0,300.85,307.0,306.5,305.34,2786117,85071850465000.0,52881.0,1275419,0.4578
989,1855,2015-05-28,ADANIPORTS,EQ,338.9,339.9,340.6,320.55,335.2,333.0,329.49,3394601,111847992415000.02,49597.0,1304186,0.3842
881,1747,2014-12-18,ADANIPORTS,EQ,273.75,278.0,291.0,277.65,289.8,289.95,286.07,3335626,95422019255000.0,41720.0,1879782,0.5635
1583,2449,2017-10-19,ADANIPORTS,EQ,406.9,405.0,406.3,397.0,397.5,401.4,402.53,137226,5523814010000.0,1910.0,36291,0.2645
347,1213,2012-10-18,ADANIPORTS,EQ,120.0,120.0,125.4,119.3,124.6,124.7,123.43,1293131,15960954419999.998,21255.0,672656,0.5202
2364,3230,2020-12-15,ADANIPORTS,EQ,467.0,469.5,479.65,461.45,475.3,475.75,474.34,10973876,520536129125000.0,128683.0,1723295,0.157
2092,2958,2019-11-15,ADANIPORTS,EQ,369.1,369.1,370.9,365.5,365.8,366.3,368.1,2362065,86947853715000.0,42561.0,1262202,0.5344
